################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS PdF GAMIT/GLOBK
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. SNEG
# FILENAME: BASELINES_SNEG_all.txt
#
#
# CREATED: 27-Feb-2019 08:18:50 by sysop@pitondescalumets
# COPYRIGHT: 2019, IPGP
################################################################################
#
year month day hour minute second SNEG-BORG_(cm) SNEG-DERG_(cm) SNEG-DSRG_(cm)
2018 12 13 11 59 00 158751.765092 35996.709458 128095.218110
2018 12 14 11 59 00 158751.728315 35996.862135 128095.296409
2018 12 15 11 59 00 158751.814081 35996.844572 128095.327500
2018 12 16 11 59 00 158751.935740 35996.826504 128095.409355
2018 12 17 11 59 00 158751.816033 35996.859431 128095.449989
2018 12 18 11 59 00 158751.543338 35996.899764 128095.370570
2018 12 19 11 59 00 158751.936759 35996.792192 128095.364722
2018 12 20 11 59 00 158751.864441 35996.819827 128095.450466
2018 12 21 11 59 00 158751.869833 35996.824952 128095.337191
2018 12 22 11 59 00 158751.510298 35996.684507 128095.170517
2018 12 23 11 59 00 158751.692959 35996.638990 128095.136983
2018 12 24 11 59 00 158751.983321 35996.723217 128095.299973
2018 12 25 11 59 00 158751.865769 35996.893729 128095.290764
2018 12 26 11 59 00 158751.890482 35996.840385 128095.401113
2018 12 27 11 59 00 158751.639814 35996.777002 128095.174512
2018 12 28 11 59 00 158751.820993 35996.725887 128095.225915
2018 12 29 11 59 00 158751.778348 35996.694390 128095.389353
2018 12 30 11 59 00 158751.939458 35996.790715 128095.528701
2018 12 31 11 59 00 158751.928482 35996.767898 128095.471906
2019 01 01 11 59 00 158751.334733 35996.606654 128095.020747
2019 01 02 11 59 00 158751.812055 35996.932882 128095.805253
2019 01 03 11 59 00 158752.037281 35996.871622 128095.622259
2019 01 04 11 59 00 158751.893590 35996.696331 128095.328114
2019 01 05 11 59 00 158751.950929 35996.691838 128095.607798
2019 01 06 11 59 00 158751.608188 35996.734591 128095.346553
2019 01 07 11 59 00 158751.957266 35996.896991 128095.721715
2019 01 08 11 59 00 158751.955704 35996.873343 128095.729123
2019 01 09 11 59 00 158751.972634 35996.724161 128095.571273
