################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. PRAG
# FILENAME: BASELINES_PRAG_all.txt
#
#
# CREATED: 22-Apr-2024 02:01:50 by sysop@pitondescalumets
# COPYRIGHT: MMXXIV, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS PRAG-GITG_(cm)
2018 12 16 11 59 00 818626.262577
2018 12 16 11 59 00 818626.262577
2018 12 17 11 59 00 818626.369853
2018 12 18 11 59 00 818626.442168
2018 12 22 11 59 00 818626.237281
2018 12 23 11 59 00 818626.109055
2018 12 24 11 59 00 818626.273754
2018 12 25 11 59 00 818626.236068
2018 12 26 11 59 00 818625.948486
2018 12 27 11 59 00 818626.211706
2018 12 28 11 59 00 818626.253449
2018 12 29 11 59 00 818626.297182
2018 12 30 11 59 00 818626.352573
2018 12 31 11 59 00 818626.600932
2019 01 01 11 59 00 818626.060729
2019 01 02 11 59 00 818626.117855
2019 01 03 11 59 00 818626.433828
2019 01 04 11 59 00 818625.977668
2019 01 05 11 59 00 818625.915819
2019 01 06 11 59 00 818626.183423
2019 01 07 11 59 00 818626.579362
2019 01 08 11 59 00 818626.368870
2019 01 09 11 59 00 818626.248542
2019 01 10 11 59 00 818626.083815
2019 01 11 11 59 00 818626.131033
2019 01 12 11 59 00 818626.095243
2019 01 13 11 59 00 818626.254028
2019 01 14 11 59 00 818626.148093
2019 01 15 11 59 00 818626.417217
2019 01 16 11 59 00 818625.994788
2019 01 17 11 59 00 818626.420870
2019 01 18 11 59 00 818625.605959
2019 01 21 11 59 00 818626.494939
2019 01 22 11 59 00 818626.418855
2019 01 23 11 59 00 818626.201376
2019 01 24 11 59 00 818625.960434
2019 01 25 11 59 00 818625.709938
2019 01 26 11 59 00 818626.516349
2019 01 27 11 59 00 818626.317281
2019 01 28 11 59 00 818626.591142
2019 01 29 11 59 00 818625.999273
2019 01 30 11 59 00 818626.501470
2019 01 31 11 59 00 818626.445842
2019 02 04 11 59 00 818626.539044
2019 02 05 11 59 00 818627.294051
2019 02 06 11 59 00 818627.279887
2019 02 07 11 59 00 818626.847291
2019 02 08 11 59 00 818626.557429
2019 02 09 11 59 00 818626.337391
2019 02 11 11 59 00 818626.519928
2019 02 13 11 59 00 818626.468716
2019 02 14 11 59 00 818626.670160
2019 02 15 11 59 00 818626.703431
2019 02 16 11 59 00 818626.814822
2019 02 17 11 59 00 818627.112410
2019 02 18 11 59 00 818627.717906
2019 02 19 11 59 00 818626.916487
2019 02 21 11 59 00 818626.261088
2019 02 22 11 59 00 818625.947674
2019 02 23 11 59 00 818626.676698
2019 02 24 11 59 00 818626.085083
2019 02 25 11 59 00 818626.273737
2019 02 26 11 59 00 818626.083748
2019 02 27 11 59 00 818626.208207
2019 02 28 11 59 00 818626.157995
2019 03 01 11 59 00 818626.109808
2019 03 03 11 59 00 818626.316797
2019 03 04 11 59 00 818625.796052
2019 03 05 11 59 00 818625.992205
2019 03 06 11 59 00 818625.745275
2019 03 07 11 59 00 818625.867196
2019 03 08 11 59 00 818625.353522
2019 03 09 11 59 00 818625.322413
2019 03 10 11 59 00 818625.329812
2019 03 11 11 59 00 818625.542642
2019 03 12 11 59 00 818625.322838
2019 03 13 11 59 00 818625.285821
2019 03 14 11 59 00 818625.662218
2019 03 15 11 59 00 818625.311026
2019 03 16 11 59 00 818625.352926
2019 03 17 11 59 00 818625.333639
2019 03 18 11 59 00 818625.389455
2019 03 19 11 59 00 818625.666957
2019 03 21 11 59 00 818625.687782
2019 03 22 11 59 00 818625.627219
2019 03 23 11 59 00 818625.413573
2019 03 24 11 59 00 818626.127224
2019 03 25 11 59 00 818625.554827
2019 03 26 11 59 00 818625.681735
2019 03 27 11 59 00 818625.614139
2019 03 28 11 59 00 818625.402163
2019 03 29 11 59 00 818625.580813
2019 03 30 11 59 00 818625.758160
2019 03 31 11 59 00 818625.976828
2019 04 01 11 59 00 818625.918028
2019 04 02 11 59 00 818626.045366
2019 04 03 11 59 00 818625.731278
2019 04 04 11 59 00 818625.388758
2019 04 05 11 59 00 818625.793978
2019 04 06 11 59 00 818625.764479
2019 04 07 11 59 00 818625.747401
2019 04 08 11 59 00 818626.223285
2019 04 09 11 59 00 818626.000274
2019 04 10 11 59 00 818625.901467
2019 04 11 11 59 00 818625.759986
2019 04 12 11 59 00 818625.799035
2019 04 13 11 59 00 818625.911473
2019 04 14 11 59 00 818625.741386
2019 04 15 11 59 00 818625.935821
