################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.GIPSYX} GNSS GIPSYX PdF OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. BOMG
# FILENAME: BASELINES_BOMG_all.txt
#
#
# CREATED: 19-Jan-2022 08:52:40 by sysop@pitondescalumets
# COPYRIGHT: 2022, OVPF-IPGP
################################################################################
#
year month day hour minute second BOMG-BORG_(cm) BOMG-DERG_(cm) BOMG-DSRG_(cm)
2020 10 10 23 55 00 78404.581573 118990.619844 125329.265268
2020 10 11 23 55 00 78404.789888 118990.674649 125329.403826
2020 10 12 23 55 00 78404.779596 118991.139211 125329.500700
2020 10 13 23 55 00 78404.744411 118991.389144 125329.749565
2020 10 14 23 55 00 78404.694476 118991.664279 125329.789672
2020 10 15 23 55 00 78404.765667 118991.811227 125329.898787
2020 10 16 23 55 00 78404.871462 118991.985581 125330.061555
2020 10 17 23 55 00 78405.089662 118992.411438 125330.500158
2020 10 18 23 55 00 78405.083328 118992.426936 125330.528490
2020 10 19 23 55 00 78404.980101 118992.716700 125330.558535
2020 10 20 23 55 00 78405.089996 118992.928373 125330.768272
2020 10 21 23 55 00 78405.169182 118992.855711 125330.671701
2020 10 22 23 55 00 78405.162652 118993.005689 125330.790471
2020 10 23 23 55 00 78405.220216 118993.114066 125330.907650
2020 10 24 23 55 00 78405.229345 118993.189273 125330.964882
2020 10 25 23 55 00 78405.339650 118993.121866 125331.009674
2020 10 26 23 55 00 78405.234188 118993.164957 125330.991248
2020 10 27 23 55 00 78405.307253 118993.449418 125331.160439
2020 10 28 23 55 00 78405.467490 118993.337247 125331.214226
2020 10 29 23 55 00 78405.502000 118993.604624 125331.505462
2020 10 30 23 55 00 78405.431197 118993.492866 125331.392724
2020 10 31 23 55 00 78405.392338 118993.475339 125331.170661
2020 11 01 23 55 00 78405.349731 118993.343391 125330.999563
2020 11 02 23 55 00 78405.314001 118993.311133 125330.931925
2020 11 03 23 55 00 78405.305709 118993.368442 125330.954862
2020 11 04 23 55 00 78405.321116 118993.382193 125331.013006
2020 11 05 23 55 00 78405.233406 118993.450755 125330.938541
2020 11 06 23 55 00 78405.317740 118993.430837 125330.978442
2020 11 07 23 55 00 78405.259822 118993.289612 125330.834337
2020 11 08 23 55 00 78405.274982 118993.371118 125330.972721
2020 11 09 23 55 00 78405.317260 118993.344277 125330.951941
2020 11 10 23 55 00 78405.328007 118993.350491 125330.868617
2020 11 11 23 55 00 78405.327111 118993.237664 125330.877050
2020 11 12 23 55 00 78405.497674 118993.534834 125331.172852
2020 11 13 23 55 00 78405.333397 118993.258853 125331.016835
2020 11 14 23 55 00 78405.349040 118993.166850 125330.823510
2020 11 15 23 55 00 78405.320473 118993.287556 125330.758986
2020 11 16 23 55 00 78405.412066 118993.408359 125330.854473
2020 11 17 23 55 00 78405.160811 118993.160692 125330.601230
2020 11 18 23 55 00 78405.154261 118993.136054 125330.609185
2020 11 19 23 55 00 78405.178762 118993.238325 125330.625107
2020 11 20 23 55 00 78405.466378 118993.410578 125330.923333
2020 11 21 23 55 00 78405.596400 118993.518740 125330.885878
2020 11 22 23 55 00 78405.439493 118993.193004 125330.761209
2020 11 23 23 55 00 78405.215402 118993.180671 125330.587286
2020 11 24 23 55 00 78405.140396 118993.053027 125330.649827
2020 11 25 23 55 00 78405.089152 118993.233347 125330.677805
2020 11 26 23 55 00 78405.200813 118993.272591 125330.724053
2020 11 27 23 55 00 78405.365343 118993.319694 125330.791062
2020 11 28 23 55 00 78405.415918 118993.264131 125330.605403
2020 11 29 23 55 00 78405.317516 118993.014458 125330.501325
2020 11 30 23 55 00 78405.457537 118993.276576 125330.891514
2020 12 01 23 55 00 78405.259163 118993.079958 125330.584203
2020 12 02 23 55 00 78405.102866 118993.369681 125330.599727
2020 12 03 23 55 00 78405.542964 118993.587259 125331.129870
2020 12 04 23 55 00 78405.672270 118994.365399 125331.598981
2020 12 05 23 55 00 78405.621595 118994.492343 125331.402412
2020 12 06 23 55 00 78405.560025 118994.790163 125331.645011
2020 12 07 23 55 00 78411.601900 118995.323065 125345.683117
2020 12 08 23 55 00 78411.871874 118995.437866 125345.877621
2020 12 09 23 55 00 78412.223016 118995.900641 125346.186072
2020 12 10 23 55 00 78412.402399 118996.118557 125346.500734
2020 12 11 23 55 00 78412.690372 118996.502481 125346.799318
2020 12 12 23 55 00 78412.664891 118996.555306 125346.927571
2020 12 13 23 55 00 78412.796823 118996.817249 125347.216812
2020 12 14 23 55 00 78413.102988 118997.117654 125347.351894
2020 12 15 23 55 00 78412.854770 118997.095689 125347.413639
2020 12 16 23 55 00 78413.044134 118997.417388 125347.570341
2020 12 17 23 55 00 78413.056218 118997.386870 125347.741881
2020 12 18 23 55 00 78413.508640 118997.519932 125347.916065
2020 12 19 23 55 00 78413.292272 118997.621837 125347.913253
2020 12 20 23 55 00 78413.535847 118997.933336 125347.859489
2020 12 21 23 55 00 78413.614606 118997.958574 125347.960492
2020 12 22 23 55 00 78413.438259 118998.114904 125347.967760
2020 12 23 23 55 00 78413.541182 118998.071554 125348.022829
