################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.GIPSYX} GNSS GIPSYX PdF OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. SNEG
# FILENAME: BASELINES_SNEG_all.txt
#
#
# CREATED: 01-Feb-2024 13:08:01 by sysop@pitondescalumets
# COPYRIGHT: MMXXIV, OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS SNEG-BORG_(cm)_gipsyx SNEG-DERG_(cm)_gipsyx SNEG-DSRG_(cm)_gipsyx
2007 08 16 23 55 00 NaN 41611.733900 NaN
2007 08 17 23 55 00 NaN 41611.749842 NaN
2007 08 18 23 55 00 NaN 41611.689156 NaN
2007 08 19 23 55 00 NaN 41611.665812 NaN
2007 08 20 23 55 00 NaN 41611.680170 NaN
2007 08 21 23 55 00 NaN 41611.758371 NaN
2007 08 22 23 55 00 NaN 41611.772861 NaN
2007 08 23 23 55 00 NaN 41611.761540 NaN
2007 08 24 23 55 00 NaN 41611.782017 NaN
2007 08 25 23 55 00 NaN 41611.519628 NaN
2007 08 26 23 55 00 NaN 41611.391744 NaN
2007 08 27 23 55 00 NaN 41611.184314 NaN
2007 08 28 23 55 00 NaN 41610.695673 NaN
2007 08 29 23 55 00 NaN 41610.844066 NaN
2007 08 31 23 55 00 NaN 41610.508573 115794.867464
2007 09 01 23 55 00 NaN 41610.692413 115794.907080
2007 09 02 23 55 00 NaN 41610.819158 115794.924309
2007 09 03 23 55 00 NaN 41611.007596 115794.873081
2007 09 04 23 55 00 NaN 41610.620333 115794.612300
2007 09 05 23 55 00 NaN 41610.434573 115794.404588
2007 09 06 23 55 00 NaN 41610.533249 115794.404327
2007 09 07 23 55 00 NaN 41610.525086 115794.334900
2007 09 08 23 55 00 NaN 41610.573556 115794.273471
2007 09 09 23 55 00 NaN 41610.513227 115794.371239
2007 09 10 23 55 00 NaN 41610.590104 115794.168146
2007 09 11 23 55 00 NaN 41610.809444 115794.002805
2007 09 12 23 55 00 NaN 41610.961850 115794.080992
2007 09 13 08 00 00 NaN 41611.065027 115794.120263
2007 09 14 23 55 00 NaN 41610.579893 115793.917994
2007 09 15 23 55 00 NaN 41610.330465 115793.709681
2007 09 16 23 55 00 NaN 41610.380181 115793.656945
2007 09 17 07 50 00 NaN 41610.324455 115793.731569
2007 09 18 07 55 00 NaN 41610.395120 115793.790034
2007 09 19 23 55 00 139515.964342 41610.671398 115793.924757
2007 09 20 23 55 00 139515.602910 41610.536678 115793.522352
2007 09 21 14 35 00 139515.827861 41610.440894 115793.600089
2007 09 22 23 55 00 139515.414893 41610.256799 115793.235260
2007 09 23 23 55 00 139515.536216 41610.195363 115793.480713
2007 09 24 23 55 00 139515.574538 41610.241702 115793.552645
2007 09 25 23 55 00 139515.567873 41610.375670 115793.558864
2007 09 26 23 55 00 139516.231370 41610.507524 115793.676760
2007 09 27 23 55 00 139516.092989 41610.676239 115793.794556
2007 09 28 23 55 00 139515.724349 41610.503289 115793.419774
2007 09 29 23 55 00 139515.179100 41610.499976 115792.937839
2007 09 30 23 55 00 139515.549601 41610.760664 115793.151338
2007 10 01 23 55 00 139515.286542 41610.462451 115793.157839
2007 10 02 23 55 00 139515.090349 41610.501325 115792.883535
2007 10 03 23 55 00 139515.431839 41610.487957 115793.075962
2007 10 04 23 55 00 139514.995152 41610.347116 115792.959944
2007 10 05 23 55 00 139515.094988 41610.271793 115792.971077
2007 10 06 23 55 00 139515.072454 41610.201797 115792.884314
2007 10 07 23 55 00 139515.105235 41610.332073 115792.931601
2007 10 08 23 55 00 139515.225943 41610.388644 115792.834141
2007 10 09 23 55 00 139515.420166 41610.286716 115792.863599
2007 10 10 23 55 00 139514.768495 41610.342869 115792.730519
2007 10 11 23 55 00 139515.076913 41610.280444 115792.685457
2007 10 12 23 55 00 139514.953258 41610.422993 115792.670742
