################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. BOMG
# FILENAME: BASELINES_BOMG_all.txt
#
#
# CREATED: 10-Jan-2024 13:34:35 by sysop@pitondescalumets
# COPYRIGHT: MMXXIV, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS BOMG-BORG_(cm) BOMG-DERG_(cm) BOMG-DSRG_(cm) BOMG-SNEG_(cm)
2014 12 28 11 59 00 88074.431423 107973.736733 112041.902498 90450.099428
2014 12 29 11 59 00 88074.227274 107973.768943 112041.858239 90450.317564
2014 12 30 11 59 00 88074.557987 107973.809321 112042.101861 90450.327475
2014 12 31 11 59 00 88074.350535 107973.824062 112041.818073 90450.330559
2015 01 01 11 59 00 88074.400870 107973.689496 112041.919847 90450.128887
2015 01 02 11 59 00 88074.189737 107973.695503 112041.826712 90450.103743
2015 01 03 11 59 00 88074.346412 107974.026672 112041.738080 90450.481962
2015 01 04 11 59 00 88074.222346 107973.860945 112041.715698 90450.390392
2015 01 05 11 59 00 88074.253020 107973.733618 112041.658639 90450.405798
2015 01 06 11 59 00 88074.240490 107974.040064 112041.835643 90450.546605
2015 01 07 11 59 00 88074.045539 107973.954123 112041.749377 90450.415977
2015 01 08 11 59 00 88074.035523 107974.039212 112041.731597 90450.319235
2015 01 09 11 59 00 88074.188376 107974.097182 112041.937210 90450.424217
2015 01 10 11 59 00 88074.216337 107973.956479 112041.976624 90450.295482
2015 01 11 11 59 00 88074.265394 107974.100043 112041.884023 90450.314803
2015 01 12 11 59 00 88074.135994 107973.935229 112041.773153 90450.209083
2015 01 13 11 59 00 88074.296458 107974.143365 112041.937579 90450.408104
2015 01 14 11 59 00 88074.222149 107974.078072 112041.894297 90450.417543
2015 01 23 11 59 00 88074.332779 107973.751257 112041.972178 90450.247376
2015 01 24 11 59 00 88074.212268 107974.098601 112042.061945 90450.580777
2015 01 25 11 59 00 88074.244411 107973.945437 112041.881983 90450.589693
2015 01 26 11 59 00 88074.174792 107974.079644 112042.026460 90450.707464
2015 01 27 11 59 00 88074.228958 107974.109335 112042.010039 90450.664699
2015 01 28 11 59 00 88074.504733 107974.009086 112042.311163 90450.390696
2015 01 29 11 59 00 88074.467612 107974.090664 112042.175811 90450.567386
2015 01 30 11 59 00 88074.798445 107974.029779 112042.133491 90450.549121
2015 01 31 11 59 00 88074.593679 107973.970996 112041.985824 90450.561118
2015 02 04 11 59 00 88081.976434 107979.474760 112058.486585 90454.166263
2015 02 05 11 59 00 88085.242458 107979.330758 112060.625694 90453.263874
2015 02 06 11 59 00 88085.345139 107979.230896 112060.449618 90453.779183
2015 02 07 11 59 00 88085.602376 107979.178382 112060.529752 90453.209381
2015 02 08 11 59 00 88085.699497 107979.209029 112060.202284 90454.228679
2015 02 09 11 59 00 88085.391340 107979.138573 112060.236178 90454.003207
2015 02 11 11 59 00 88085.471151 107978.913789 112059.956385 90453.388532
2015 02 12 11 59 00 88085.415565 107978.759723 112059.925237 90453.380534
2015 02 13 11 59 00 88085.438739 107978.741259 112059.935361 90453.561795
2015 02 14 11 59 00 88085.460893 107978.506403 112059.685221 90452.407959
